0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:47 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:19 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:19 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:19 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:19 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:19 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:27 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:33 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 3155
